users,queries,throughput
15,21375,92.27
30,64125,184.82
45,128250,275.22
60,213750,360.43
75,320625,366.53
90,448875,384.87
105,598500,398.63
120,769500,396.88
135,961875,388.77
150,1175625,412.98
