t,value
1500542365,0
1500542375,0
1500542385,0
1500542395,0
1500542405,0
1500542415,0
1500542425,0
1500542435,0
1500542445,0
1500542455,0
1500542465,0
1500542475,0
1500542485,0
1500542495,0
1500542505,0
1500542515,0
1500542525,0
1500542535,0
1500542545,0
1500542555,0
1500542565,0
1500542575,0
1500542585,0
1500542595,0
1500542605,0
1500542615,0
1500542625,0
1500542635,0
1500542645,0
1500542655,0
1500542665,0
1500542675,0
1500542685,0
1500542695,0
1500542705,0
1500542715,0
1500542725,0
1500542735,0
1500542745,0
1500542755,0
1500542765,0
1500542775,0
1500542785,0
1500542795,0
1500542805,0
1500542815,0
1500542825,0
1500542835,0
1500542845,0
1500542855,0
1500542865,0
1500542875,0
1500542885,0
1500542895,0
1500542905,0
1500542915,0
1500542925,0
1500542935,0
1500542945,0
1500542955,0
1500542965,0
1500542975,0
1500542985,0
1500542995,0
1500543005,0
1500543015,0
1500543025,0
1500543035,0
1500543045,0
1500543055,0
1500543065,0
1500543075,0
1500543085,0
1500543095,0
1500543105,0
1500543115,0
1500543125,0
1500543135,0
1500543145,0
1500543155,0
1500543165,0
1500543175,0
1500543185,0
1500543195,0
1500543205,0
1500543215,0
1500543225,0
1500543235,0
1500543245,0
1500543255,0
1500543265,0
1500543275,0
1500543285,0
1500543295,0
1500543305,0
1500543315,0
1500543325,0
1500543335,0
1500543345,0
1500543355,0
1500543364,0
1500543375,0
1500543385,0
1500543395,0
1500543405,0
1500543415,0
1500543425,0
1500543435,0
1500543445,0
1500543455,0
1500543465,0
1500543475,0
1500543485,0
1500543495,0
1500543505,0
1500543515,0
1500543525,0
1500543535,0
1500543545,0
1500543555,0
1500543565,0
1500543575,0
1500543585,0
1500543595,0
1500543605,0
1500543615,0
1500543625,0
1500543635,0
1500543645,0
1500543655,0
1500543665,0
1500543675,0
1500543685,0
1500543695,0
1500543705,0
1500543715,0
1500543725,1
1500543735,1
1500543745,1
1500543755,1
1500543765,1
1500543775,1
1500543785,1
1500543795,1
1500543805,1
1500543815,1
1500543825,1
1500543835,1
1500543845,1
1500543855,1
1500543865,1
1500543875,1
1500543885,1
1500543895,1
1500543905,1
1500543915,1
1500543925,1
1500543935,1
1500543945,1
1500543955,1
1500543965,1
1500543975,1
1500543985,1
1500543995,1
1500544005,1
1500544015,1
1500544025,1
1500544035,1
1500544045,1
1500544055,1
1500544065,1
1500544075,1
1500544085,1
1500544095,1
1500544105,1
1500544115,1
1500544125,1
1500544135,1
1500544145,1
1500544155,1
1500544165,1
1500544175,1
1500544185,1
1500544195,1
1500544205,1
1500544215,1
1500544225,1
1500544235,1
1500544245,1
1500544255,1
1500544265,1
1500544275,1
1500544285,1
1500544295,1
1500544305,1
1500544315,1
1500544325,1
1500544335,1
1500544345,1
1500544355,1
1500544365,1
1500544375,1
1500544385,1
1500544395,1
1500544405,1
1500544415,1
1500544425,1
1500544435,1
1500544445,1
1500544455,1
1500544465,1
1500544475,1
1500544485,1
1500544495,1
1500544505,1
1500544515,1
1500544525,1
1500544535,1
1500544545,1
1500544555,1
1500544565,1
1500544575,1
1500544585,1
1500544595,1
1500544605,1
1500544615,1
1500544625,1
1500544635,1
1500544645,1
1500544655,1
1500544665,1
1500544675,1
1500544685,1
1500544695,1
1500544705,1
1500544715,1
1500544725,1
1500544735,1
1500544745,1
1500544755,1
1500544765,1
1500544775,1
1500544785,1
1500544795,1
1500544805,1
1500544815,1
1500544825,1
1500544835,1
1500544845,1
1500544855,1
1500544865,1
1500544875,1
1500544885,1
1500544895,1
1500544905,1
1500544915,1
1500544925,1
1500544935,1
1500544945,1
1500544955,1
1500544965,1
1500544975,1
1500544985,1
1500544995,1
1500545005,1
1500545015,1
1500545025,1
1500545035,1
1500545045,1
1500545055,1
1500545065,1
1500545075,1
1500545085,1
1500545095,1
1500545105,1
1500545115,1
1500545125,1
1500545135,1
1500545145,1
1500545155,1
1500545165,1
1500545175,1
1500545185,1
1500545195,1
1500545205,1
1500545215,1
1500545225,1
1500545235,1
1500545245,1
1500545255,1
1500545265,1
1500545275,1
1500545285,1
1500545295,1
1500545305,1
1500545315,1
1500545325,1
1500545335,1
1500545345,1
1500545355,1
1500545365,1
1500545375,1
1500545385,1
1500545395,1
1500545405,1
1500545415,1
1500545425,1
1500545435,1
1500545445,1
1500545455,1
1500545465,1
1500545475,1
1500545485,1
1500545495,1
1500545505,1
1500545515,1
1500545525,1
1500545535,1
1500545545,1
1500545555,1
1500545565,1
1500545575,1
1500545585,1
1500545595,1
1500545605,1
1500545615,1
1500545625,1
1500545635,1
1500545645,1
1500545655,1
1500545665,1
1500545675,1
1500545685,1
1500545695,1
1500545705,1
1500545715,1
1500545725,1
1500545735,1
1500545745,1
1500545755,1
1500545765,1
1500545775,1
1500545785,1
1500545795,1
1500545805,1
1500545815,1
1500545825,1
1500545835,1
1500545845,1
1500545855,1
1500545865,1
1500545875,1
1500545885,1
1500545895,1
1500545905,1
1500545915,1
1500545925,1
1500545935,1
1500545945,1
1500545955,1
1500545965,1
1500545975,1
1500545985,1
1500545995,1
1500546005,1
1500546015,1
1500546025,1
1500546035,1
1500546045,299
1500546055,1554
1500546065,3007
1500546075,4829
1500546085,6724
1500546095,8404
1500546105,9921
1500546115,11434
1500546125,12222
1500546135,13470
1500546145,14927
1500546155,16473
1500546165,17610
1500546175,18792
1500546185,19937
1500546195,21178
1500546205,22422
1500546215,23523
1500546225,23915
1500546235,24074
1500546245,25387
1500546255,26894
1500546265,28150
1500546275,29510
1500546285,30923
1500546295,32418
1500546305,33787
1500546315,34998
1500546325,36353
1500546335,37602
1500546345,38866
1500546355,40187
1500546365,41459
1500546375,42591
1500546385,43713
1500546395,44965
1500546405,46108
1500546415,47639
1500546425,48096
1500546435,48096
1500546445,49764
1500546455,51738
1500546465,53464
1500546475,55167
1500546485,56732
1500546495,58338
1500546505,60118
1500546515,61547
1500546525,63385
1500546535,65251
1500546545,67065
1500546555,68467
1500546565,70381
1500546575,72136
1500546585,74130
1500546595,75702
1500546605,77303
1500546615,79182
1500546625,79808
1500546635,80136
1500546645,81737
1500546655,83296
1500546665,84830
1500546675,86302
1500546685,87982
1500546695,89438
1500546705,90993
