users,queries,throughput
30,42750,172.25
45,106875,224.1
60,192375,334.81
75,299250,444.98
90,427500,526.74
105,577125,602.08
120,748125,709.34
135,940500,776.63
150,1154250,844.32
165,1389375,921.15
