users,queries,throughput
15,21375,91.0
30,64125,182.51
45,128250,270.47
60,213750,345.39
75,320625,353.9
90,448875,377.1
105,598500,391.74
120,769500,392.27
135,961875,385.07
150,1175625,394.63
