t,value
1500275086,337503
1500275096,341188
1500275105,344685
1500275115,348481
1500275125,351784
1500275135,355653
1500275145,359634
1500275155,363441
1500275165,367188
1500275175,370991
1500275184,374939
1500275194,378874
1500275204,382747
1500275214,386269
1500275224,390138
1500275234,394012
1500275244,397780
1500275254,401405
1500275264,405208
1500275273,409006
1500275283,412797
1500275293,416780
1500275303,420756
1500275313,424541
1500275323,428514
1500275333,431963
1500275343,435363
1500275352,439266
1500275362,443248
1500275372,447489
1500275382,451442
1500275392,455302
1500275402,459068
1500275412,462884
1500275422,466681
1500275432,469676
1500275441,472903
1500275451,476506
1500275461,480024
1500275471,483794
1500275481,487672
1500275491,491766
1500275501,495758
1500275511,499394
1500275521,503120
1500275530,506953
1500275540,511090
1500275550,515024
1500275560,518970
1500275570,522841
1500275580,525971
1500275590,529246
1500275600,532836
1500275609,536124
1500275619,539642
1500275629,543441
1500275639,547289
1500275649,551113
1500275659,554896
1500275669,558691
1500275679,562596
1500275688,566489
1500275698,570367
1500275708,574303
1500275718,578181
1500275728,582136
1500275738,585517
1500275748,589321
1500275758,592629
1500275768,596381
1500275777,600186
1500275787,604016
1500275797,607694
1500275807,611390
1500275817,615463
1500275827,619707
1500275837,623717
1500275847,627616
1500275856,630339
1500275866,634158
1500275876,638278
1500275886,642308
1500275896,646439
1500275906,650306
1500275916,654111
1500275926,657813
1500275935,661669
1500275945,665465
1500275955,669078
1500275965,672766
1500275975,676476
1500275985,680356
1500275995,684101
1500276005,687933
1500276014,691879
1500276024,695733
1500276034,699559
1500276044,703360
1500276054,706990
1500276064,710806
1500276074,714585
1500276084,718150
1500276094,721719
1500276103,725512
1500276113,729259
1500276123,733053
1500276133,736372
1500276143,740054
1500276153,743704
1500276163,747560
1500276173,750826
1500276182,754588
1500276192,758543
1500276202,762366
1500276212,766059
1500276222,769687
1500276232,773379
1500276242,777347
1500276252,781388
1500276261,784712
1500276271,788340
1500276281,792190
1500276291,795829
1500276301,799568
1500276311,803263
1500276321,806883
1500276331,810002
1500276340,810472
1500276350,814060
1500276360,817700
1500276370,821398
1500276380,825112
1500276390,828722
1500276400,832128
1500276410,835874
1500276419,839348
1500276429,842408
1500276439,845797
1500276449,849374
1500276459,853219
1500276469,856961
1500276479,860718
1500276489,864535
1500276498,868090
1500276508,871767
1500276518,875358
1500276528,878733
1500276538,882010
1500276548,886032
1500276558,889771
1500276568,893370
1500276577,897038
1500276587,900613
1500276597,904184
1500276607,907676
1500276617,911293
1500276627,915125
1500276637,918704
1500276647,922407
1500276657,925844
1500276666,929549
1500276676,932823
1500276686,936461
1500276696,940077
1500276706,943731
1500276716,947200
1500276726,950917
1500276736,954538
1500276745,958250
1500276755,961890
1500276765,965664
1500276775,969182
1500276785,972883
1500276795,976594
1500276805,980281
1500276815,983738
1500276824,987451
1500276834,990895
1500276844,994632
1500276854,998273
1500276864,1001923
1500276874,1005453
1500276884,1009325
1500276894,1012493
1500276903,1015576
1500276913,1019095
1500276923,1022691
1500276933,1026471
1500276943,1030140
1500276953,1033448
1500276963,1036935
1500276973,1040539
1500276982,1044344
1500276992,1048109
1500277002,1051705
1500277012,1055550
1500277022,1059093
1500277032,1062741
1500277042,1066563
1500277052,1070458
1500277062,1074105
1500277071,1077655
1500277081,1081316
1500277091,1084735
1500277101,1088402
1500277111,1092103
1500277121,1095527
1500277131,1098915
1500277141,1102525
1500277150,1106221
1500277160,1109985
1500277170,1113634
1500277180,1117224
1500277190,1120863
1500277200,1124479
1500277210,1128098
1500277220,1131781
1500277229,1135013
1500277239,1138268
1500277249,1141943
1500277259,1145498
1500277269,1149279
1500277279,1152866
1500277289,1156504
1500277299,1160230
1500277308,1163947
1500277318,1167583
1500277328,1171153
1500277338,1174867
1500277348,1178376
1500277358,1182160
1500277368,1185867
1500277378,1189275
1500277387,1193141
1500277397,1197130
1500277407,1201145
1500277417,1205301
1500277427,1209378
1500277437,1213339
1500277447,1217204
1500277457,1221087
1500277467,1224739
1500277476,1228697
1500277486,1232717
1500277496,1236580
1500277506,1237472
1500277516,1237472
1500277526,1237472
1500277536,1237472
1500277546,1237472
1500277555,1237472
1500277565,1237472
1500277575,1237472
1500277585,1237472
1500277595,1237472
1500277605,1237472
1500277615,1237472
1500277625,1237472
1500277634,1237472
1500277644,1237472
1500277654,1237472
1500277664,1237472
1500277674,1237472
1500277684,1237472
1500277694,1237472
1500277704,1237472
1500277713,1237472
1500277723,1237472
1500277733,1237472
1500277743,1237472
1500277753,1237472
1500277763,1237472
1500277773,1237472
1500277783,1237472
