users,queries,throughput
15,21375,93.65
30,64125,186.47
45,128250,322.77
60,213750,364.4
75,320625,382.78
90,448875,388.43
105,598500,395.08
120,769500,396.2
135,961875,380.75
150,1175625,373.33
