# Rate a, "Throughput: worker_c"
10.0, 9.812667261373775
30.0, 9.812667261373775
50.0, 9.812667261373768
70.0, 9.812667261373779
90.0, 9.81266726137377
110.0, 9.812667261373774
130.0, 9.812667261373772
150.0, 9.812667261373782
170.0, 9.812667261373768
190.0, 9.812667261373775
210.0, 9.81266726137378
