users,queries,throughput
15,21375,168.93
30,64125,185.25
45,128250,208.07
60,213750,203.93
75,320625,193.73
90,448875,156.17
105,598500,136.45
120,769500,111.72
135,961875,98.52
150,1175625,86.95
