users,queries,throughput
15,21375,133.1
30,64125,183.4
45,128250,324.78
60,213750,364.27
75,320625,359.22
90,448875,360.27
105,598500,355.65
120,769500,337.5
135,961875,335.47
150,1175625,351.1
