t,value
1500625486,0
1500625496,0
1500625506,0
1500625516,0
1500625525,0
1500625535,0
1500625545,0
1500625555,0
1500625565,0
1500625575,0
1500625585,0
1500625594,0
1500625604,0
1500625614,0
1500625624,0
1500625634,0
1500625644,0
1500625654,0
1500625664,0
1500625673,0
1500625683,0
1500625693,0
1500625703,0
1500625713,0
1500625723,0
1500625733,0
1500625743,0
1500625752,0
1500625762,0
1500625772,0
1500625782,0
1500625792,0
1500625802,0
1500625812,0
1500625821,0
1500625831,0
1500625841,0
1500625851,0
1500625861,0
1500625871,0
1500625881,0
1500625891,0
1500625900,0
1500625910,0
1500625920,0
1500625930,0
1500625940,0
1500625950,0
1500625960,0
1500625970,0
1500625979,0
1500625989,0
1500625999,0
1500626009,0
1500626019,0
1500626029,0
1500626039,0
1500626049,0
1500626058,0
1500626068,0
1500626078,0
1500626088,0
1500626098,0
1500626108,0
1500626118,0
1500626127,0
1500626137,0
1500626147,0
1500626157,0
1500626167,0
1500626177,0
1500626187,0
1500626197,0
1500626206,0
1500626216,0
1500626226,0
1500626236,0
1500626246,0
1500626256,0
1500626266,0
1500626276,0
1500626285,0
1500626295,0
1500626305,0
1500626315,0
1500626325,0
1500626335,0
1500626345,0
1500626354,0
1500626364,0
1500626374,0
1500626384,0
1500626394,0
1500626404,0
1500626414,0
1500626423,0
1500626433,0
1500626443,0
1500626453,0
1500626463,0
1500626473,0
1500626483,0
1500626492,0
1500626502,0
1500626512,0
1500626522,0
1500626532,0
1500626542,0
1500626552,0
1500626561,0
1500626571,0
1500626581,0
1500626591,0
1500626601,0
1500626611,0
1500626621,0
1500626631,0
1500626640,0
1500626650,0
1500626660,0
1500626670,0
1500626680,0
1500626690,0
1500626700,0
1500626709,0
1500626719,0
1500626729,0
1500626739,0
1500626749,0
1500626759,0
1500626769,0
1500626778,0
1500626788,0
1500626798,0
1500626808,0
1500626818,0
1500626828,0
1500626838,0
1500626847,0
1500626857,0
1500626867,0
1500626877,0
1500626887,0
1500626897,0
1500626907,0
1500626916,0
1500626926,0
1500626936,0
1500626946,0
1500626956,0
1500626966,0
1500626976,0
1500626985,0
1500626995,0
1500627005,0
1500627015,0
1500627025,0
1500627035,0
1500627045,0
1500627054,0
1500627064,0
1500627074,0
1500627084,0
1500627094,0
1500627104,0
1500627114,0
1500627123,0
1500627133,0
1500627143,0
1500627153,0
1500627163,0
1500627173,0
1500627183,0
1500627192,0
1500627202,0
1500627212,0
1500627222,0
1500627232,0
1500627242,0
1500627251,0
1500627261,0
1500627271,0
1500627281,0
1500627291,0
1500627301,0
1500627311,0
1500627320,0
1500627330,0
1500627340,0
1500627350,0
1500627360,0
1500627370,0
1500627379,0
1500627389,0
1500627399,0
1500627409,0
1500627419,0
1500627429,0
1500627439,0
1500627448,0
1500627458,0
1500627468,0
1500627478,0
1500627488,0
1500627498,0
1500627507,0
1500627517,0
1500627527,0
1500627537,0
1500627547,0
1500627557,0
1500627566,0
1500627576,0
1500627586,0
1500627596,0
1500627606,0
1500627616,0
1500627626,0
1500627635,0
1500627645,0
1500627655,0
1500627665,0
1500627675,0
1500627685,0
1500627694,0
1500627704,0
1500627714,0
1500627724,0
1500627734,0
1500627744,0
1500627754,0
1500627763,0
1500627773,0
1500627783,0
1500627793,0
1500627803,0
1500627813,0
1500627822,0
1500627832,0
1500627842,0
1500627852,0
1500627862,0
1500627872,0
1500627881,0
1500627891,0
1500627901,0
1500627911,0
1500627921,0
1500627931,0
1500627940,0
1500627950,0
1500627960,0
1500627970,0
1500627980,0
1500627990,0
1500628000,0
1500628009,0
1500628019,0
1500628029,0
1500628039,0
1500628049,0
1500628059,0
1500628068,0
1500628078,0
1500628088,0
1500628098,0
1500628108,0
1500628118,0
1500628127,0
1500628137,0
1500628147,0
1500628157,0
1500628167,0
1500628177,0
1500628186,0
1500628196,0
1500628206,0
1500628216,0
1500628226,0
1500628236,0
1500628245,0
1500628255,0
1500628265,0
1500628275,0
1500628285,0
1500628295,0
1500628304,0
1500628314,0
1500628324,0
1500628334,0
1500628344,0
1500628354,0
1500628363,0
1500628373,0
1500628383,0
1500628393,0
1500628403,0
1500628413,0
1500628422,0
1500628432,0
1500628442,0
1500628452,0
1500628462,0
1500628471,0
1500628481,0
1500628491,0
1500628501,0
1500628511,0
1500628521,0
1500628531,0
1500628540,0
1500628550,0
1500628560,0
1500628570,0
1500628580,0
1500628590,0
1500628599,0
1500628609,0
1500628619,0
1500628629,0
1500628639,0
1500628648,0
1500628658,0
1500628668,0
1500628678,0
1500628688,0
1500628698,0
1500628707,0
1500628717,0
1500628727,0
1500628737,0
1500628747,602
1500628757,2106
1500628766,3520
1500628776,4829
1500628786,6428
1500628796,7756
1500628806,9842
1500628816,11077
1500628825,12167
1500628835,13284
1500628845,14521
1500628855,15789
1500628865,17027
1500628875,17980
1500628884,19125
1500628894,20439
1500628904,21544
1500628914,22666
1500628924,23581
1500628933,24244
1500628943,25292
1500628953,26280
1500628963,26318
1500628973,26318
1500628983,27050
1500628992,28144
1500629002,29320
1500629012,30893
1500629022,32076
1500629032,32809
1500629042,33670
1500629051,35051
1500629061,36572
1500629071,37883
1500629081,39019
1500629091,40278
1500629101,41284
1500629110,42404
1500629120,43854
1500629130,45349
1500629140,46569
1500629150,47717
1500629160,49048
1500629169,50006
1500629179,50918
1500629189,51781
1500629199,53135
1500629209,54081
1500629219,55006
1500629229,56053
1500629238,56067
1500629248,56067
1500629258,57168
1500629268,59124
1500629278,61366
1500629288,63624
1500629298,65907
1500629307,68082
1500629317,70262
1500629327,72908
1500629337,75203
1500629347,77228
1500629357,79848
1500629367,82333
1500629376,84805
1500629386,87532
1500629396,89654
1500629406,91972
1500629416,94666
1500629426,97248
1500629436,99939
1500629446,102286
1500629455,104893
1500629465,107431
1500629475,109215
1500629485,109331
1500629495,109331
1500629505,109597
1500629515,111344
1500629524,113541
1500629534,115479
1500629544,117908
1500629554,120410
1500629564,122960
1500629574,125735
1500629584,128088
1500629593,130563
1500629603,132726
1500629613,135090
1500629623,137878
1500629633,140427
1500629643,142984
1500629653,145111
1500629662,147448
1500629672,149639
1500629682,151810
1500629692,154494
1500629702,156725
1500629712,159210
1500629722,161566
1500629732,163714
1500629741,165884
1500629751,168389
1500629761,170959
1500629771,173647
1500629781,174518
1500629791,175375
1500629801,177864
1500629811,180238
1500629820,182763
1500629830,185435
1500629840,187956
1500629850,190558
1500629860,193111
1500629870,195434
1500629880,197985
1500629889,200542
1500629899,203215
1500629909,205907
1500629919,208686
1500629929,211307
1500629939,213958
1500629949,216401
1500629959,218764
1500629968,221409
1500629978,224024
1500629988,226207
1500629998,228621
1500630008,230924
1500630018,233574
1500630028,235936
1500630037,238916
1500630047,241656
1500630057,244352
1500630067,246839
1500630077,249683
1500630087,252331
1500630097,254962
1500630107,257194
1500630116,259164
1500630126,261533
1500630136,264200
1500630146,267083
1500630156,269745
1500630166,272064
1500630176,274595
1500630186,277233
1500630195,279905
1500630205,282897
1500630215,286007
1500630225,288772
1500630235,291503
1500630245,294606
1500630255,297651
1500630264,300035
1500630274,302837
1500630284,305441
1500630294,307916
1500630304,310390
1500630314,312824
1500630324,315285
1500630334,317875
1500630343,320438
1500630353,323442
1500630363,326172
1500630373,328960
1500630383,331820
1500630393,334526
1500630403,337435
1500630413,340119
1500630422,343100
1500630432,345782
1500630442,348381
1500630452,351354
1500630462,354419
1500630472,356445
1500630482,357792
1500630491,360547
1500630501,363550
1500630511,366387
1500630521,369142
1500630531,372049
1500630541,375028
1500630551,377723
1500630561,380334
1500630571,383398
1500630580,386125
1500630590,388998
1500630600,391469
1500630610,394276
1500630620,397054
1500630630,399859
1500630640,402391
1500630650,405389
1500630660,408262
1500630669,411284
1500630679,414506
1500630689,417306
1500630699,420349
1500630709,423475
1500630719,426522
1500630729,429460
1500630739,432143
1500630749,435169
1500630758,438271
1500630768,441079
1500630778,444116
1500630788,447355
1500630798,450305
1500630808,453151
1500630818,455973
1500630828,459117
1500630838,461993
1500630847,465168
1500630857,468257
1500630867,470832
1500630877,473851
1500630887,474733
1500630897,476363
1500630907,479218
1500630917,482087
1500630927,485161
1500630936,487721
1500630946,490401
1500630956,492842
1500630966,495455
1500630976,498045
1500630986,500976
1500630996,504106
1500631006,506973
1500631016,509396
1500631025,512063
1500631035,514912
1500631045,517692
1500631055,520046
1500631065,522938
1500631075,525907
1500631085,528700
1500631095,531631
1500631105,534049
1500631114,536510
1500631124,539302
1500631134,542285
1500631144,545337
1500631154,548417
1500631164,551445
1500631174,554422
