users,queries,throughput
15,21375,95.51
30,64125,211.45
45,128250,306.23
60,213750,348.32
75,320625,359.42
90,448875,359.98
105,598500,360.07
120,769500,369.79
135,961875,381.41
150,1175625,394.1
