users,queries,throughput
15,21375,135.17
30,64125,180.78
45,128250,179.83
60,213750,194.93
75,320625,195.87
90,448875,191.75
105,598500,187.15
120,769500,188.1
135,961875,175.48
150,1175625,169.97
