users,queries,throughput
15,21375,103.85
30,64125,171.54
45,128250,294.77
60,213750,330.69
75,320625,351.25
90,448875,373.38
105,598500,388.68
120,769500,395.37
135,961875,393.01
150,1175625,396.16
