# Rate a, "Throughput: worker_a"
1.0, 0.9584664536741213
2.0, 1.7632241813602012
3.0, 2.3904382470119527
4.0, 2.866242038216561
5.0, 3.225806451612904
6.0, 3.4994697773064694
7.0, 3.7102473498233213
8.0, 3.8748137108792844
9.0, 4.005085823267642
10.0, 4.109589041095889
