queries,users,throughput
21375,15,137.26399999999998
64125,30,187.742
128250,45,194.726
213750,60,192.228
320625,75,186.57
448875,90,175.882
598500,105,167.308
769500,120,172.794
961875,135,171.726
1175625,150,170.608
