queries,users,throughput
21375,15,111.974
64125,30,219.248
128250,45,336.254
213750,60,379.096
320625,75,393.12199999999996
448875,90,404.55
598500,105,415.506
769500,120,416.2
961875,135,414.04799999999994
1175625,150,422.424
