queries,users,throughput
21375,15,151.004
64125,30,208.56799999999998
128250,45,301.588
213750,60,307.336
320625,75,309.758
448875,90,327.07399999999996
598500,105,339.72599999999994
769500,120,331.42199999999997
961875,135,332.88
1175625,150,341.23400000000004
