queries,users,throughput
21375,15,167.578
64125,30,149.958
128250,45,184.98000000000002
213750,60,171.202
320625,75,161.648
448875,90,142.348
598500,105,126.328
769500,120,112.51799999999999
961875,135,97.074
1175625,150,88.64200000000001
