queries,users,throughput
21375,15,111.922
42750,15,113.928
64125,15,114.50399999999999
85500,15,114.178
106875,15,95.24
128250,15,78.56200000000001
149625,15,67.694
171000,15,59.516
192375,15,52.05799999999999
213750,15,46.126
