queries,users,throughput
64125,45,335.204
149625,60,439.82
256500,75,561.708
384750,90,643.452
534375,105,772.8059999999999
705375,120,847.2800000000001
897750,135,891.842
1111500,150,920.51
1346625,165,948.7620000000001
1603125,180,961.01
