t,value
1500629767,122865
1500629777,123629
1500629787,123656
1500629797,124913
1500629807,125871
1500629817,126868
1500629827,127990
1500629836,129261
1500629846,130391
1500629856,131364
1500629866,132159
1500629876,133040
1500629886,134156
1500629896,135307
1500629906,136486
1500629915,137526
1500629925,138547
1500629935,139539
1500629945,140529
1500629955,141539
1500629965,142500
1500629975,143538
1500629984,144574
1500629994,145627
1500630004,146588
1500630014,147474
1500630024,148453
1500630034,149555
1500630044,150412
1500630054,151297
1500630063,152278
1500630073,153406
1500630083,154509
1500630093,155522
1500630103,156658
1500630113,157247
1500630123,157942
1500630132,158936
1500630142,159850
1500630152,160878
1500630162,161709
1500630172,162578
1500630182,163500
1500630192,164442
1500630202,165539
1500630211,166551
1500630221,167539
1500630231,168644
1500630241,169700
1500630251,170843
1500630261,171826
1500630271,172785
1500630281,173750
1500630290,174726
1500630300,175739
1500630310,176475
1500630320,177344
1500630330,178134
1500630340,179094
1500630350,180132
1500630360,181145
1500630369,182252
1500630379,183377
1500630389,184337
1500630399,185458
1500630409,186461
1500630419,187395
1500630429,188512
1500630438,189394
1500630448,190448
1500630458,191598
1500630468,192678
1500630478,192870
1500630488,193738
1500630498,194632
1500630508,195675
1500630517,196627
1500630527,197598
1500630537,198406
1500630547,199345
1500630557,200230
1500630567,201226
1500630577,202044
1500630587,202900
1500630596,203856
1500630606,204626
1500630616,205318
1500630626,206167
1500630636,206930
1500630646,207784
1500630656,208505
1500630666,209456
1500630675,210228
1500630685,211151
1500630695,212169
1500630705,213143
1500630715,214021
1500630725,215038
1500630735,215879
1500630745,216926
1500630754,218008
1500630764,218882
1500630774,219834
1500630784,220905
1500630794,222008
1500630804,222928
1500630814,224017
1500630824,224997
1500630833,226078
1500630843,226959
1500630853,228011
1500630863,228923
1500630873,229980
1500630883,230547
1500630893,230778
1500630903,231408
1500630913,232273
1500630922,233166
1500630932,233895
1500630942,234668
1500630952,235495
1500630962,236320
1500630972,236957
1500630982,237826
1500630992,238742
1500631002,239580
1500631012,240391
1500631021,241146
1500631031,241882
1500631041,242769
1500631051,243514
1500631061,244333
1500631071,245238
1500631081,246076
1500631091,246945
1500631101,247532
1500631110,248148
1500631120,248969
1500631130,249905
1500631140,250803
1500631150,251704
1500631160,252512
1500631170,253336
1500631180,254313
1500631190,255192
1500631199,256061
1500631209,256901
1500631219,257765
1500631229,258651
1500631239,259361
1500631249,260199
1500631259,261036
1500631269,261848
1500631279,262709
1500631288,263514
1500631298,264245
1500631308,264897
1500631318,265614
1500631328,266284
1500631338,266907
1500631348,267773
1500631358,268271
1500631368,268489
1500631377,269132
1500631387,269911
1500631397,270659
1500631407,271352
1500631417,272103
1500631427,272753
1500631437,273457
1500631447,274280
1500631457,275050
1500631467,275719
1500631476,276355
1500631486,277062
1500631496,277857
1500631506,278644
1500631516,279362
1500631526,280107
1500631536,280884
1500631546,281586
1500631556,282284
1500631565,283041
1500631575,283845
1500631585,284487
1500631595,285055
1500631605,285826
1500631615,286583
1500631625,287366
1500631635,288245
1500631645,289091
1500631654,289915
1500631664,290800
1500631674,291611
1500631684,292535
1500631694,293339
1500631704,294144
1500631714,294999
1500631724,295813
1500631734,296698
1500631743,297502
1500631753,298340
1500631763,299161
1500631773,300072
1500631783,300927
1500631793,301732
1500631803,302478
1500631813,303302
1500631823,304103
1500631832,304909
1500631842,305685
1500631852,306518
1500631862,307280
1500631872,308138
1500631882,308789
1500631892,309355
1500631902,310060
1500631912,310804
1500631922,311492
1500631931,312234
1500631941,313010
1500631951,313692
1500631961,314471
1500631971,315220
1500631981,315922
1500631991,316694
1500632001,317303
1500632011,318017
1500632020,318753
1500632030,319469
1500632040,320211
1500632050,320987
1500632060,321731
1500632070,322440
1500632080,323144
1500632090,323898
1500632100,324641
1500632109,325432
1500632119,325732
1500632129,326385
1500632139,327118
1500632149,327941
1500632159,328624
1500632169,329428
1500632179,330244
1500632189,331060
1500632198,331686
1500632208,332494
1500632218,333137
1500632228,333929
1500632238,334702
1500632248,335461
1500632258,336264
1500632268,337096
1500632278,337876
1500632288,338657
1500632297,339468
1500632307,340245
1500632317,341018
1500632327,341748
1500632337,342583
1500632347,343373
1500632357,344176
1500632367,344965
1500632377,345741
1500632386,346539
1500632396,347344
1500632406,348146
1500632416,348933
1500632426,349689
1500632436,350513
1500632446,351019
1500632456,351358
1500632466,351358
1500632475,351358
1500632485,351358
1500632495,351358
1500632505,351358
1500632515,351358
1500632525,351358
