users,queries,throughput
15,21375,110.95
30,64125,178.15
45,128250,266.57
60,213750,356.92
75,320625,365.12
90,448875,361.98
105,598500,362.42
120,769500,373.65
135,961875,382.33
150,1175625,379.42
