users,queries,throughput
15,21375,104.82
30,64125,173.61
45,128250,260.55
60,213750,348.42
75,320625,357.61
90,448875,357.33
105,598500,358.58
120,769500,364.64
135,961875,370.73
150,1175625,373.37
