users,queries,throughput
15,21375,111.63
30,64125,236.46
45,128250,354.06
60,213750,397.73
75,320625,408.08
90,448875,422.06
105,598500,448.04
120,769500,448.98
135,961875,442.99
150,1175625,453.29
