users,queries,throughput
15,21375,133.9
30,64125,115.42
45,128250,177.58
60,213750,162.83
75,320625,158.73
90,448875,146.45
105,598500,127.88
120,769500,118.6
135,961875,102.92
150,1175625,93.75
