users,queries,throughput
15,21375,148.22
30,64125,184.72
45,128250,170.73
60,213750,117.93
75,320625,122.68
90,448875,121.92
105,598500,123.12
120,769500,135.82
135,961875,144.63
150,1175625,150.05
