users,queries,throughput
15,21375,110.82
30,64125,220.47
45,128250,328.92
60,213750,393.81
75,320625,392.39
90,448875,404.5
105,598500,409.52
120,769500,397.63
135,961875,403.14
150,1175625,409.52
