users,queries,throughput
45,64125,325.09
60,149625,430.36
75,256500,543.46
90,384750,585.69
105,534375,706.37
120,705375,810.99
135,897750,856.93
150,1111500,912.25
165,1346625,1049.82
180,1603125,1076.7
