users,queries,throughput
15,21375,129.0
30,64125,249.37
45,128250,300.92
60,213750,299.57
75,320625,303.57
90,448875,313.25
105,598500,338.15
120,769500,337.23
135,961875,328.5
150,1175625,326.53
