users,queries,throughput
45,64125,341.72
60,149625,478.26
75,256500,594.81
90,384750,715.46
105,534375,824.25
120,705375,943.59
135,897750,996.81
150,1111500,1015.78
165,1346625,1033.93
180,1603125,998.17
