users,queries,throughput
15,21375,204.17
30,64125,191.52
45,128250,192.6
60,213750,182.72
75,320625,171.23
90,448875,146.97
105,598500,126.8
120,769500,108.88
135,961875,94.0
150,1175625,88.33
