users,queries,throughput
45,64125,340.31
60,149625,463.93
75,256500,572.79
90,384750,690.41
105,534375,807.94
120,705375,849.18
135,897750,937.27
150,1111500,965.99
165,1346625,1018.39
180,1603125,1024.65
