users,queries,throughput
15,21375,115.81
30,64125,233.62
45,128250,347.68
60,213750,377.71
75,320625,391.41
90,448875,392.23
105,598500,390.19
120,769500,395.72
135,961875,385.58
150,1175625,400.15
