users,queries,throughput
30,42750,207.05
45,106875,271.68
60,192375,358.6
75,299250,448.49
90,427500,534.24
105,577125,628.69
120,748125,730.13
135,940500,733.77
150,1154250,743.15
165,1389375,964.19
