# Rate a_1, "Throughput: arrive_1"
1.0, 0.9677419354838709
2.0, 1.8705035971223023
3.0, 2.692307692307692
4.0, 3.4285714285714284
5.0, 4.081632653061224
6.0, 4.657534246575343
7.0, 5.163934426229508
8.0, 5.608856088560886
9.0, 6.0
10.0, 6.344410876132931
