users,queries,throughput
45,64125,347.27
60,149625,472.52
75,256500,591.94
90,384750,695.5
105,534375,820.56
120,705375,832.54
135,897750,857.54
150,1111500,931.35
165,1346625,983.53
180,1603125,1003.42
