users,queries,throughput
15,21375,117.76
30,64125,234.15
45,128250,355.84
60,213750,395.54
75,320625,422.48
90,448875,430.58
105,598500,441.1
120,769500,443.3
135,961875,445.52
150,1175625,453.0
