users,queries,throughput
15,21375,164.67
30,64125,140.0
45,128250,179.08
60,213750,163.98
75,320625,165.48
90,448875,155.47
105,598500,136.18
120,769500,119.32
135,961875,103.78
150,1175625,88.95
