users,queries,throughput
15,21375,156.12
30,64125,218.95
45,128250,305.02
60,213750,305.22
75,320625,318.05
90,448875,343.1
105,598500,365.55
120,769500,344.12
135,961875,341.8
150,1175625,367.22
