# Rate a, "Throughput: queue_c"
1.0, 0.999999930418657
2.0, 0.9999631663107257
3.0, 0.9979473559199731
4.0, 0.9748264839293963
5.0, 0.8949355392225395
6.0, 0.7812591209022943
7.0, 0.6776251009578993
8.0, 0.5946208257536659
9.0, 0.5289398902574386
10.0, 0.47614403268148847
