# Rate a, "Throughput: book_c"
1.0, 0.9999999304186586
2.0, 0.9999631663107243
3.0, 0.9979473559199706
4.0, 0.9748264839293934
5.0, 0.8949355392225353
6.0, 0.7812591209023004
7.0, 0.6776251009579082
8.0, 0.5946208257536658
9.0, 0.5289398902574283
10.0, 0.47614403268147926
