users,queries,throughput
15,21375,182.8
30,64125,261.72
45,128250,319.57
60,213750,316.22
75,320625,301.73
90,448875,322.98
105,598500,334.95
120,769500,330.98
135,961875,329.48
150,1175625,345.17
