t,count,mean_rate,m1_rate
1500457443,0,0,0.0
1500457453,0,0.0,0.0
1500457463,0,0.0,0.0
1500457472,0,0.0,0.0
1500457482,1,0.02564102564102564,0.016666666666666666
1500457492,1,0.02040816326530612,0.016666666666666666
1500457502,1,0.01694915254237288,0.016666666666666666
1500457512,1,0.014492753623188406,0.016666666666666666
1500457521,1,0.01282051282051282,0.016666666666666666
1500457531,1,0.011363636363636364,0.016666666666666666
1500457541,1,0.01020408163265306,0.0
1500457551,2,0.018518518518518517,0.016666666666666666
1500457561,2,0.01694915254237288,0.016666666666666666
1500457570,2,0.015748031496062992,0.016666666666666666
1500457580,2,0.014598540145985401,0.016666666666666666
1500457590,2,0.013605442176870748,0.016666666666666666
1500457600,2,0.012738853503184714,0.016666666666666666
1500457610,2,0.011976047904191617,0.0
1500457619,2,0.011363636363636364,0.0
1500457629,2,0.010752688172043012,0.0
1500457639,2,0.01020408163265306,0.0
1500457649,2,0.009708737864077669,0.0
1500457659,2,0.009259259259259259,0.0
1500457668,2,0.008888888888888889,0.0
1500457678,2,0.00851063829787234,0.0
1500457688,2,0.00816326530612245,0.0
1500457698,2,0.00784313725490196,0.0
1500457708,2,0.007547169811320755,0.0
1500457718,2,0.007272727272727273,0.0
1500457727,3,0.01056338028169014,0.016666666666666666
1500457737,3,0.01020408163265306,0.016666666666666666
1500457747,3,0.009868421052631578,0.016666666666666666
1500457757,3,0.009554140127388535,0.016666666666666666
1500457767,3,0.009259259259259259,0.016666666666666666
1500457776,4,0.012012012012012012,0.03333333333333333
1500457786,14,0.04081632653061224,0.18333333333333332
1500457796,14,0.039660056657223795,0.18333333333333332
1500457806,14,0.03856749311294766,0.18333333333333332
1500457816,14,0.03753351206434316,0.18333333333333332
1500457825,14,0.03664921465968586,0.18333333333333332
1500457835,14,0.03571428571428571,0.16666666666666666
1500457845,14,0.03482587064676617,0.0
1500457855,14,0.03398058252427184,0.0
1500457865,14,0.03317535545023697,0.0
1500457874,14,0.03248259860788863,0.0
1500457884,14,0.031746031746031744,0.0
1500457894,14,0.031042128603104215,0.0
1500457904,14,0.03036876355748373,0.0
1500457914,14,0.029723991507430998,0.0
1500457923,14,0.029166666666666667,0.0
1500457933,14,0.02857142857142857,0.0
1500457943,14,0.028,0.0
1500457953,14,0.027450980392156862,0.0
1500457963,14,0.026923076923076925,0.0
1500457972,14,0.026465028355387523,0.0
1500457982,14,0.025974025974025976,0.0
1500457992,14,0.025500910746812388,0.0
1500458002,14,0.025044722719141325,0.0
1500458012,14,0.02460456942003515,0.0
1500458021,14,0.02422145328719723,0.0
1500458031,14,0.023809523809523808,0.0
1500458041,14,0.023411371237458192,0.0
1500458051,14,0.023026315789473683,0.0
1500458061,14,0.022653721682847898,0.0
1500458070,14,0.022328548644338118,0.0
1500458080,14,0.02197802197802198,0.0
1500458090,14,0.021638330757341576,0.0
1500458100,14,0.0213089802130898,0.0
1500458110,14,0.020989505247376312,0.0
1500458119,14,0.020710059171597635,0.0
1500458129,14,0.02040816326530612,0.0
1500458139,14,0.020114942528735632,0.0
1500458149,14,0.019830028328611898,0.0
1500458159,14,0.019553072625698324,0.0
1500458168,25,0.034482758620689655,0.18333333333333332
1500458178,25,0.034013605442176874,0.18333333333333332
1500458188,25,0.03355704697986577,0.18333333333333332
1500458198,25,0.033112582781456956,0.18333333333333332
1500458208,36,0.047058823529411764,0.36666666666666664
1500458217,36,0.046511627906976744,0.36666666666666664
1500458227,36,0.04591836734693878,0.18333333333333332
1500458237,36,0.04534005037783375,0.18333333333333332
1500458247,36,0.04477611940298507,0.18333333333333332
1500458257,36,0.044226044226044224,0.18333333333333332
1500458266,36,0.04374240583232078,0.0
1500458276,36,0.04321728691476591,0.0
1500458286,36,0.042704626334519574,0.0
1500458296,36,0.04220398593200469,0.0
1500458306,36,0.04171494785631518,0.0
1500458315,36,0.04128440366972477,0.0
1500458325,36,0.04081632653061224,0.0
1500458335,36,0.04035874439461883,0.0
1500458345,36,0.03991130820399113,0.0
1500458355,36,0.039473684210526314,0.0
1500458364,36,0.03908794788273615,0.0
1500458374,36,0.03866809881847476,0.0
1500458384,36,0.03825717321997875,0.0
1500458394,36,0.03785488958990536,0.0
1500458404,36,0.037460978147762745,0.0
1500458413,36,0.03711340206185567,0.0
1500458423,36,0.036734693877551024,0.0
1500458433,36,0.03636363636363636,0.0
1500458443,36,0.036,0.0
1500458453,36,0.03564356435643564,0.0
1500458462,36,0.03532875368007851,0.0
1500458472,36,0.03498542274052478,0.0
1500458482,36,0.03464870067372473,0.0
1500458492,36,0.034318398474737846,0.0
1500458502,36,0.0339943342776204,0.0
1500458511,36,0.033707865168539325,0.0
1500458521,36,0.03339517625231911,0.0
1500458531,36,0.03308823529411765,0.0
1500458541,36,0.03278688524590164,0.0
1500458551,36,0.032490974729241874,0.0
1500458560,36,0.03222918531781558,0.0
1500458570,36,0.03194321206743567,0.0
1500458580,36,0.0316622691292876,0.0
1500458590,36,0.03138622493461203,0.0
1500458600,36,0.03111495246326707,0.0
1500458609,36,0.030874785591766724,0.0
1500458619,36,0.030612244897959183,0.0
1500458629,36,0.03035413153456998,0.0
1500458639,36,0.030100334448160536,0.0
1500458648,36,0.02987551867219917,0.0
1500458658,36,0.02962962962962963,0.0
1500458668,36,0.029387755102040815,0.0
1500458678,36,0.029149797570850202,0.0
1500458688,36,0.02891566265060241,0.0
1500458698,36,0.028685258964143426,0.0
1500458707,36,0.028481012658227847,0.0
1500458717,36,0.0282574568288854,0.0
1500458727,36,0.028037383177570093,0.0
1500458737,36,0.027820710973724884,0.0
1500458747,36,0.027607361963190184,0.0
1500458756,36,0.027418126428027417,0.0
1500458766,36,0.027210884353741496,0.0
1500458776,36,0.02700675168792198,0.0
1500458786,36,0.02680565897244974,0.0
1500458795,36,0.026627218934911243,0.0
1500458805,36,0.02643171806167401,0.0
1500458815,36,0.026239067055393587,0.0
1500458825,36,0.02604920405209841,0.0
1500458835,36,0.02586206896551724,0.0
1500458844,36,0.02569593147751606,0.0
1500458854,36,0.025513819985825654,0.0
1500458864,36,0.025334271639690358,0.0
1500458874,36,0.025157232704402517,0.0
1500458884,36,0.02498265093684941,0.0
1500458894,36,0.024810475534114404,0.0
1500458903,36,0.024657534246575342,0.0
1500458913,36,0.024489795918367346,0.0
1500458923,36,0.024324324324324326,0.0
1500458933,36,0.024161073825503355,0.0
1500458942,36,0.02401601067378252,0.0
1500458952,36,0.02385685884691849,0.0
1500458962,36,0.02369980250164582,0.0
1500458972,36,0.02354480052321779,0.0
1500458982,36,0.023391812865497075,0.0
1500458991,36,0.023255813953488372,0.0
1500459001,36,0.023106546854942234,0.0
1500459011,36,0.02295918367346939,0.0
1500459021,36,0.022813688212927757,0.0
1500459031,36,0.022670025188916875,0.0
1500459040,36,0.022542266750156543,0.0
1500459050,36,0.0224019912881145,0.0
1500459060,36,0.022263450834879406,0.0
1500459070,36,0.022126613398893668,0.0
1500459080,36,0.021991447770311544,0.0
1500459089,36,0.02187120291616039,0.0
1500459099,36,0.021739130434782608,0.0
1500459109,36,0.021608643457382955,0.0
1500459119,36,0.021479713603818614,0.0
1500459129,36,0.021352313167259787,0.0
1500459138,36,0.021238938053097345,0.0
1500459148,36,0.021114369501466276,0.0
1500459158,36,0.02099125364431487,0.0
1500459168,36,0.020869565217391306,0.0
1500459178,36,0.0207492795389049,0.0
1500459187,36,0.020642201834862386,0.0
1500459197,36,0.020524515393386546,0.0
1500459207,36,0.02040816326530612,0.0
