users,queries,throughput
30,42750,179.08
45,106875,270.39
60,192375,406.32
75,299250,526.55
90,427500,622.58
105,577125,698.54
120,748125,860.45
135,940500,871.81
150,1154250,920.62
165,1389375,956.47
