users,queries,throughput
30,42750,179.19
45,106875,286.81
60,192375,363.83
75,299250,445.98
90,427500,544.02
105,577125,632.95
120,748125,718.59
135,940500,800.39
150,1154250,877.78
165,1389375,946.97
