users,queries,throughput
15,21375,90.64
30,64125,182.59
45,128250,303.34
60,213750,347.56
75,320625,374.93
90,448875,386.73
105,598500,387.57
120,769500,389.96
135,961875,379.44
150,1175625,369.79
