t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498976608,0,0.000000,0.000000,0.000000,0.000000,events/second
1498976618,0,0.000000,0.000000,0.000000,0.000000,events/second
1498976628,160,5.972003,2.040488,0.428103,0.143860,events/second
1498976639,360,9.784796,4.689499,1.046770,0.355525,events/second
1498976649,556,11.882466,7.010516,1.661629,0.570385,events/second
1498976659,751,13.223778,8.960501,2.253079,0.781769,events/second
1498976669,949,14.208343,10.592580,2.821724,0.989697,events/second
1498976680,1146,14.923476,11.976662,3.371836,1.195339,events/second
1498976690,1330,15.324041,13.129714,3.900498,1.397590,events/second
1498976701,1531,15.817490,14.030910,4.395519,1.592089,events/second
1498976711,1729,16.190416,14.900580,4.897232,1.792172,events/second
1498976721,1923,16.465223,15.652731,5.385803,1.991151,events/second
1498976731,2122,16.736123,16.275978,5.855160,2.186836,events/second
1498976742,2318,16.945486,16.800989,6.309020,2.380347,events/second
1498976752,2515,17.133135,17.231967,6.744805,2.570623,events/second
1498976762,2712,17.296841,17.611494,7.169554,2.759899,events/second
1498976773,2910,17.446922,17.934036,7.580433,2.947090,events/second
1498976783,3107,17.574367,18.189792,7.974481,3.131098,events/second
1498976793,3305,17.693514,18.467692,8.368725,3.317493,events/second
1498976803,3502,17.795478,18.625531,8.733624,3.496300,events/second
1498976814,3698,17.882740,18.807112,9.096478,3.676456,events/second
1498976824,3896,17.971176,18.942269,9.444021,3.853501,events/second
1498976834,4093,18.047405,19.073946,9.783530,4.029703,events/second
1498976845,4290,18.117193,19.171975,10.108712,4.202863,events/second
1498976855,4484,18.169172,19.269667,10.426485,4.375212,events/second
1498976865,4682,18.232681,19.245538,10.710919,4.537924,events/second
1498976876,4864,18.231459,19.154755,10.972532,4.694376,events/second
1498976886,5000,18.064126,18.791348,11.166120,4.829160,events/second
1498976896,5120,17.852686,16.850009,10.995087,4.841174,events/second
1498976907,5485,18.480981,19.836577,11.824708,5.188785,events/second
1498976917,5861,19.104174,22.519450,12.659970,5.543610,events/second
1498976927,6228,19.659608,24.686186,13.445036,5.886796,events/second
1498976938,6599,20.193291,26.592572,14.220565,6.231693,events/second
1498976948,6966,20.683413,28.223564,14.974030,6.573893,events/second
1498976958,7340,21.165450,29.525491,15.686319,6.906777,events/second
1498976968,7710,21.609257,30.722216,16.395037,7.242626,events/second
1498976979,8087,22.047941,31.701962,17.073853,7.572542,events/second
1498976989,8461,22.455386,32.634287,17.753173,7.906525,events/second
1498976999,8830,22.828829,33.273800,18.377603,8.225786,events/second
1498977010,9201,23.188496,33.826013,18.984648,8.542604,events/second
1498977020,9568,23.520641,34.406667,19.594986,8.863683,events/second
1498977030,9938,23.844051,34.726114,20.149117,9.169044,events/second
1498977041,10312,24.161679,35.123171,20.711471,9.479890,events/second
1498977051,10681,24.453312,35.442002,21.252030,9.786186,events/second
1498977061,11044,24.718459,35.647922,21.761643,10.084666,events/second
1498977072,11420,25.000461,35.765937,22.241655,10.375452,events/second
1498977082,11803,25.285375,36.293129,22.797616,10.693952,events/second
1498977092,12176,25.537362,36.356230,23.253418,10.981312,events/second
1498977103,12540,25.760514,36.485764,23.710641,11.271018,events/second
1498977113,12916,25.998828,36.519293,24.136510,11.552002,events/second
1498977123,13286,26.215904,36.655776,24.571394,11.837618,events/second
1498977134,13657,26.426513,36.691351,24.975491,12.114539,events/second
1498977144,14030,26.632920,36.812297,25.385957,12.395023,events/second
1498977154,14402,26.829780,36.812966,25.760263,12.664701,events/second
1498977164,14772,27.015777,36.883260,26.138390,12.936890,events/second
1498977175,15000,26.940059,35.695455,26.246274,13.119645,events/second
1498977185,15212,26.838789,32.134484,25.782504,13.107641,events/second
1498977196,15778,27.354771,35.555205,26.720806,13.563918,events/second
1498977206,16322,27.815671,38.794285,27.703341,14.040521,events/second
1498977216,16885,28.292958,41.284716,28.598341,14.493120,events/second
1498977226,17440,28.741333,43.570649,29.503067,14.953946,events/second
1498977237,17985,29.158959,45.217161,30.315980,15.388702,events/second
1498977247,18542,29.582401,46.813674,31.144998,15.833033,events/second
1498977257,19094,29.984692,48.141430,31.943204,16.271310,events/second
1498977268,19656,30.390004,49.352978,32.732098,16.710321,events/second
1498977278,20244,30.822565,50.737378,33.570778,17.169923,events/second
1498977288,20794,31.185153,51.480043,34.292818,17.594542,events/second
1498977299,21346,31.539990,52.097819,34.988099,18.013386,events/second
1498977309,21896,31.881567,52.545914,35.644277,18.422086,events/second
1498977319,22457,32.229150,53.025649,36.301590,18.833971,events/second
1498977330,23013,32.559811,53.440686,36.937737,19.241347,events/second
1498977340,23569,32.881243,53.709494,37.536391,19.638670,events/second
1498977350,24126,33.195210,54.063686,38.141809,20.040461,events/second
1498977361,24674,33.488439,54.251565,38.704240,20.430056,events/second
1498977371,25246,33.805949,54.602494,39.287900,20.828643,events/second
1498977381,25842,34.146786,55.260322,39.930779,21.249307,events/second
1498977392,26417,34.451345,55.769188,40.542665,21.661999,events/second
1498977402,26974,34.724888,55.727223,41.032997,22.035893,events/second
1498977412,27521,34.978767,55.490210,41.464554,22.391281,events/second
1498977423,28081,35.242592,55.505786,41.927914,22.758219,events/second
1498977433,28634,35.491200,55.672489,42.408868,23.132151,events/second
1498977443,29190,35.737391,55.681188,42.844794,23.492035,events/second
1498977453,29750,35.982465,55.544631,43.236678,23.837969,events/second
1498977464,30000,35.851220,52.345957,42.980471,23.967278,events/second
1498977474,30400,35.900216,48.451596,42.427583,23.989429,events/second
1498977484,31149,36.355402,52.458182,43.481992,24.548619,events/second
1498977495,31919,36.824308,56.131780,44.563714,25.122579,events/second
1498977505,32652,37.240319,59.123064,45.581313,25.680347,events/second
1498977516,33395,37.658231,61.344260,46.499820,26.209835,events/second
1498977526,34143,38.072392,63.268599,47.397969,26.736777,events/second
1498977536,34879,38.464183,65.136105,48.316203,27.274511,events/second
1498977546,35626,38.859433,66.487277,49.155185,27.789732,events/second
1498977557,36372,39.245069,67.577931,49.956527,28.295912,events/second
1498977567,37119,39.623542,68.694970,50.773971,28.810835,events/second
1498977577,37856,39.983455,69.621975,51.561201,29.318948,events/second
1498977588,38545,40.285680,69.477887,52.125591,29.755113,events/second
1498977598,39311,40.661297,70.503461,52.914571,30.268280,events/second
1498977608,40058,41.009773,71.152182,53.628973,30.759255,events/second
1498977619,40793,41.339023,71.598972,54.299847,31.238125,events/second
1498977629,41544,41.677719,72.083347,54.968999,31.718402,events/second
1498977639,42286,42.000749,72.425562,55.602827,32.188921,events/second
1498977650,43026,42.315456,72.684537,56.209318,32.652032,events/second
1498977660,43770,42.627930,72.866657,56.789096,33.107784,events/second
1498977670,44515,42.935340,73.223590,57.392623,33.572881,events/second
1498977681,45260,43.236879,73.309522,57.930412,34.017362,events/second
1498977691,46014,43.541227,73.570320,58.490074,34.470211,events/second
1498977701,46759,43.831429,73.791080,59.031388,34.918055,events/second
1498977712,47506,44.118104,73.896716,59.538373,35.355405,events/second
1498977722,48246,44.393056,73.955431,60.022180,35.785712,events/second
