t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1498821838,0,0.000000,0.000000,0.000000,0.000000,events/second
1498821848,30,0.009240,0.000000,0.000000,0.000000,events/second
1498821858,221,0.067858,2.923240,0.623167,0.209973,events/second
1498821868,419,0.128261,5.422020,1.232188,0.419806,events/second
1498821878,611,0.186463,7.566617,1.827745,0.629523,events/second
1498821888,805,0.244920,9.383258,2.403832,0.836930,events/second
1498821898,1000,0.303326,10.901184,2.957563,1.040918,events/second
1498821908,1192,0.360471,12.236611,3.503167,1.245989,events/second
1498821918,1386,0.417875,13.321610,4.021076,1.445482,events/second
1498821928,1583,0.475835,14.237484,4.521897,1.642758,events/second
1498821938,1775,0.531949,15.044737,5.012911,1.840070,events/second
1498821948,1970,0.588625,15.744053,5.491132,2.036311,events/second
1498821958,2163,0.644367,16.291874,5.943923,2.227077,events/second
1498821968,2359,0.700668,16.782462,6.388262,2.417927,events/second
1498821978,2553,0.756045,17.168311,6.811532,2.604464,events/second
1498821988,2745,0.810503,17.509637,7.224176,2.790042,events/second
1498821998,2938,0.864936,17.831825,7.629958,2.975792,events/second
1498822008,3135,0.920222,18.025874,8.005964,3.153955,events/second
1498822018,3327,0.973722,18.251540,8.382756,3.334569,events/second
1498822028,3522,1.027786,18.426571,8.743889,3.512080,events/second
1498822038,3716,1.081243,18.589444,9.096435,3.688731,events/second
1498822048,3910,1.134391,18.715158,9.434280,3.862340,events/second
1498822058,4104,1.187230,18.836285,9.764301,4.035134,events/second
1498822068,4298,1.239765,18.909391,10.077001,4.203814,events/second
1498822078,4493,1.292286,18.966160,10.379230,4.370605,events/second
1498822088,4685,1.343645,19.064745,10.681577,4.538890,events/second
1498822098,4882,1.396140,19.086788,10.960899,4.700896,events/second
1498822108,5000,1.425807,18.507382,11.108479,4.820084,events/second
1498822118,5110,1.453032,16.945450,11.008757,4.855466,events/second
1498822128,5306,1.504486,17.259582,11.270686,5.011752,events/second
1498822138,5500,1.555085,17.616322,11.543644,5.172934,events/second
1498822148,5694,1.605398,17.875437,11.797955,5.329035,events/second
1498822158,5888,1.655428,18.093494,12.043874,5.483406,events/second
1498822168,6081,1.704897,18.307500,12.288233,5.638275,events/second
1498822178,6276,1.754648,18.475219,12.521384,5.790336,events/second
1498822188,6470,1.803844,18.633181,12.750198,5.941826,events/second
1498822198,6665,1.853044,18.736189,12.964953,6.089432,events/second
1498822208,6860,1.901971,18.870079,13.182531,6.238724,events/second
1498822218,7023,1.941780,18.534384,13.300361,6.355336,events/second
1498822228,7222,1.991295,18.618020,13.490359,6.496145,events/second
1498822238,7413,2.038339,18.799475,13.697213,6.643147,events/second
1498822248,7607,2.085947,18.848808,13.874474,6.780806,events/second
1498822258,7802,2.133568,18.932147,14.055568,6.920237,events/second
1498822268,7996,2.180657,19.017405,14.233976,7.059229,events/second
1498822278,8191,2.227762,19.060149,14.400032,7.194482,events/second
1498822288,8384,2.274068,19.157739,14.573759,7.332660,events/second
1498822298,8580,2.320936,19.164227,14.725425,7.463789,events/second
1498822308,8774,2.367011,19.231126,14.885233,7.597890,events/second
1498822318,8968,2.412838,19.243617,15.030048,7.727203,events/second
1498822328,9163,2.458688,19.266346,15.173257,7.856176,events/second
1498822338,9356,2.503757,19.284307,15.311717,7.983719,events/second
1498822348,9550,2.548852,19.315502,15.448943,8.110960,events/second
1498822358,9744,2.593707,19.312483,15.575169,8.234592,events/second
1498822368,9938,2.638324,19.309927,15.697256,8.356857,events/second
1498822378,10010,2.650403,17.789887,15.501353,8.372515,events/second
1498822388,10200,2.693578,17.687803,15.551304,8.467937,events/second
1498822398,10398,2.738633,17.906519,15.667726,8.585426,events/second
1498822408,10590,2.781875,18.150508,15.793336,8.706025,events/second
1498822418,10784,2.825415,18.360876,15.914991,8.825310,events/second
1498822428,10978,2.868727,18.489697,16.022686,8.939946,events/second
1498822438,11173,2.912074,18.626888,16.133299,9.055513,events/second
1498822448,11368,2.955195,18.759009,16.243590,9.170911,events/second
1498822458,11561,2.997575,18.870847,16.350266,9.285035,events/second
1498822468,11757,3.040511,19.000055,16.460165,9.400125,events/second
1498822478,11950,3.082451,19.048020,16.553348,9.509524,events/second
1498822489,12152,3.126492,19.166020,16.659895,9.623242,events/second
1498822499,12351,3.169536,19.311321,16.772757,9.739016,events/second
1498822510,12551,3.212616,19.386342,16.872002,9.850185,events/second
1498822520,12752,3.255732,19.513810,16.981216,9.964559,events/second
1498822530,12950,3.297863,19.573737,17.076933,10.074345,events/second
1498822540,13150,3.340289,19.639176,17.172762,10.184020,events/second
1498822551,13348,3.381993,19.695848,17.265505,10.292489,events/second
1498822561,13551,3.424750,19.790514,17.365069,10.403077,events/second
1498822572,13752,3.466787,19.822674,17.451453,10.509119,events/second
1498822582,13953,3.508613,19.849897,17.535004,10.613990,events/second
1498822592,14153,3.549978,19.824967,17.605899,10.714377,events/second
1498822603,14355,3.591637,19.911966,17.697446,10.821394,events/second
1498822613,14555,3.632588,19.926760,17.772987,10.922820,events/second
1498822623,14755,3.673336,19.967429,17.852500,11.025323,events/second
1498822634,14775,3.669180,17.562201,17.410818,10.952042,events/second
1498822644,14960,3.705920,17.362659,17.368910,11.009045,events/second
1498822654,15040,3.716531,15.785901,17.040069,10.968939,events/second
1498822665,15240,3.756670,16.479537,17.146969,11.072047,events/second
1498822675,15440,3.796611,17.050696,17.247060,11.172907,events/second
1498822685,15642,3.836847,17.536729,17.343978,11.272665,events/second
1498822696,15842,3.876397,17.916165,17.431107,11.369105,events/second
1498822706,16043,3.915998,18.252063,17.518631,11.465581,events/second
1498822716,16243,3.955162,18.583089,17.613148,11.564309,events/second
1498822727,16444,3.994379,18.785898,17.688148,11.656418,events/second
1498822737,16647,4.033891,18.956294,17.760633,11.747503,events/second
1498822747,16848,4.072728,19.147225,17.840605,11.840900,events/second
1498822758,17047,4.110896,19.278142,17.911399,11.931055,events/second
1498822768,17246,4.148880,19.374248,17.976620,12.019112,events/second
1498822778,17448,4.187401,19.501016,18.049511,12.109507,events/second
1498822789,17643,4.224062,19.430494,18.080945,12.185675,events/second
1498822799,17843,4.261743,19.517923,18.143859,12.272021,events/second
1498822809,18043,4.299243,19.623913,18.211322,12.359628,events/second
1498822820,18243,4.336566,19.697640,18.273268,12.445159,events/second
1498822830,18367,4.355688,19.120405,18.200954,12.485424,events/second
1498822840,18547,4.387969,18.491665,18.090933,12.511165,events/second
1498822851,18749,4.425290,18.723222,18.153519,12.593914,events/second
1498822861,18948,4.461728,18.933943,18.217305,12.676850,events/second
1498822871,19150,4.498701,19.097603,18.275749,12.757768,events/second
1498822882,19350,4.535031,19.221425,18.329026,12.836690,events/second
1498822892,19552,4.571659,19.355663,18.387058,12.916943,events/second
1498822902,19755,4.608349,19.454580,18.439936,12.995208,events/second
1498822913,19956,4.644403,19.553025,18.494332,13.073711,events/second
1498822923,20030,4.650801,17.772419,18.157855,13.020708,events/second
1498822933,20231,4.686590,18.116950,18.218357,13.097839,events/second
1498822944,20434,4.722675,18.374051,18.270155,13.171889,events/second
1498822954,20635,4.758133,18.638376,18.330117,13.248439,events/second
1498822964,20835,4.793198,18.879392,18.391474,13.325257,events/second
1498822975,21036,4.828331,19.067417,18.447513,13.400118,events/second
1498822985,21236,4.863075,19.210586,18.498410,13.473045,events/second
1498822995,21437,4.897888,19.333054,18.547692,13.545171,events/second
1498823006,21638,4.932542,19.418173,18.591944,13.615380,events/second
1498823016,21837,4.966584,19.507494,18.638106,13.685928,events/second
1498823026,21840,4.955994,17.086526,18.153868,13.577677,events/second
1498823037,21840,4.944773,14.463432,17.558713,13.427649,events/second
1498823047,21840,4.933603,12.243031,16.983070,13.279279,events/second
1498823057,21840,4.922484,10.363502,16.426299,13.132548,events/second
1498823068,21840,4.911414,8.772515,15.887781,12.987439,events/second
1498823078,21840,4.900394,7.425774,15.366917,12.843932,events/second
1498823088,21840,4.889423,6.285782,14.863130,12.702012,events/second
1498823099,21840,4.878501,5.320799,14.375858,12.561660,events/second
1498823109,21840,4.867628,4.503959,13.904562,12.422858,events/second
1498823119,21856,4.860362,4.068377,13.501607,12.303319,events/second
1498823130,21882,4.855346,3.837840,13.143992,12.196077,events/second
1498823140,21882,4.844597,3.248662,12.713080,12.061315,events/second
1498823150,21882,4.833894,2.749933,12.296296,11.928042,events/second
1498823161,21895,4.826105,2.327768,11.893175,11.796242,events/second
1498823171,21895,4.815491,2.161676,11.545535,11.680222,events/second
1498823182,21895,4.804923,1.829819,11.167027,11.551160,events/second
1498823192,22065,4.831627,3.589396,11.229031,11.567384,events/second
1498823202,22170,4.844012,5.226655,11.334655,11.599608,events/second
1498823213,22211,4.842390,4.839407,11.051604,11.501273,events/second
1498823223,22211,4.831856,4.302445,10.734805,11.389615,events/second
1498823233,22228,4.825057,3.892054,10.438144,11.282497,events/second
1498823244,22228,4.814606,3.294553,10.095941,11.157829,events/second
1498823254,22228,4.804200,2.788779,9.764957,11.034540,events/second
1498823264,22228,4.793839,2.360650,9.444823,10.912612,events/second
1498823274,22242,4.786535,2.222123,9.181465,10.807545,events/second
1498823285,22242,4.776257,1.880986,8.880461,10.688126,events/second
1498823295,22242,4.766022,1.592221,8.589325,10.570026,events/second
1498823305,22242,4.755831,1.347786,8.307733,10.453231,events/second
1498823316,22242,4.745684,1.140876,8.035373,10.337727,events/second
1498823326,22322,4.752613,1.701322,7.924005,10.274469,events/second
1498823337,22404,4.759937,3.004764,8.003812,10.275702,events/second
1498823347,22417,4.752602,2.911291,7.822692,10.189707,events/second
1498823357,22417,4.742547,2.464355,7.566234,10.077115,events/second
1498823368,22433,4.735913,2.321432,7.370201,9.983397,events/second
1498823378,22433,4.725936,1.965049,7.128577,9.873084,events/second
1498823388,22433,4.716001,1.663378,6.894874,9.763990,events/second
1498823399,22561,4.732960,2.847220,6.966347,9.755825,events/second
1498823409,22761,4.764921,5.464494,7.390335,9.867911,events/second
1498823419,22833,4.770008,6.089789,7.464990,9.865936,events/second
1498823430,22833,4.760063,5.360871,7.265773,9.772348,events/second
1498823440,22847,4.753073,4.537879,7.027573,9.664367,events/second
1498823450,22847,4.743205,4.047207,6.842697,9.573006,events/second
1498823461,22847,4.733379,3.425887,6.618366,9.467228,events/second
1498823471,22847,4.723592,2.899951,6.401390,9.362619,events/second
1498823481,22967,4.738605,3.734045,6.455985,9.347808,events/second
1498823492,23021,4.739967,4.419020,6.515756,9.336153,events/second
1498823502,23023,4.730639,3.931883,6.344408,9.247317,events/second
1498823512,23023,4.720938,3.328267,6.136413,9.145138,events/second
1498823523,23023,4.711278,2.817317,5.935238,9.044088,events/second
1498823533,23023,4.701656,2.384807,5.740657,8.944154,events/second
1498823543,23078,4.703283,2.258563,5.602042,8.861945,events/second
1498823554,23213,4.721175,4.368142,5.948173,8.942880,events/second
1498823564,23244,4.717884,4.360247,5.896872,8.892622,events/second
1498823574,23244,4.708328,3.690870,5.703549,8.794362,events/second
1498823585,23260,4.702044,3.367326,5.568909,8.714855,events/second
1498823595,23260,4.692558,2.850380,5.386339,8.618559,events/second
1498823605,23260,4.683110,2.412794,5.209754,8.523327,events/second
1498823616,23260,4.673700,2.042386,5.038958,8.429148,events/second
1498823626,23260,4.664328,1.728843,4.873761,8.336009,events/second
1498823637,23370,4.677007,2.694750,4.968520,8.329218,events/second
1498823647,23572,4.708011,5.384683,5.467976,8.460397,events/second
1498823657,23774,4.738892,7.600255,5.937945,8.585708,events/second
1498823668,23975,4.769450,9.518555,6.402205,8.712933,events/second
1498823678,24175,4.799689,11.127648,6.847994,8.837651,events/second
1498823688,24375,4.829808,12.521698,7.285779,8.963207,events/second
1498823699,24497,4.844383,12.980858,7.560401,9.037508,events/second
1498823709,24537,4.842716,11.599575,7.443568,8.981833,events/second
1498823719,24537,4.833177,9.818828,7.199539,8.882587,events/second
1498823730,24549,4.826035,8.311459,6.963510,8.784438,events/second
1498823740,24549,4.816566,7.212048,6.774232,8.700596,events/second
1498823750,24563,4.809876,6.104867,6.552146,8.604458,events/second
1498823761,24563,4.800475,5.373634,6.382856,8.524808,events/second
1498823771,24563,4.791112,4.548683,6.173601,8.430613,events/second
1498823781,24563,4.781785,3.850377,5.971206,8.337458,events/second
1498823792,24563,4.772494,3.259274,5.775447,8.245332,events/second
1498823802,24563,4.763239,2.758916,5.586105,8.154224,events/second
1498823812,24563,4.754020,2.335372,5.402971,8.064123,events/second
1498823823,24563,4.744837,1.976849,5.225841,7.975018,events/second
1498823833,24563,4.735689,1.673367,5.054517,7.886897,events/second
1498823843,24563,4.726576,1.416475,4.888810,7.799750,events/second
1498823854,24563,4.717499,1.199020,4.728536,7.713566,events/second
1498823864,24563,4.708456,1.014948,4.573516,7.628334,events/second
1498823874,24563,4.699447,0.859135,4.423578,7.544044,events/second
1498823885,24563,4.690473,0.727242,4.278556,7.460685,events/second
1498823895,24563,4.681534,0.615597,4.138289,7.378247,events/second
1498823905,24563,4.672628,0.521092,4.002619,7.296720,events/second
1498823916,24752,4.699641,2.791824,4.367828,7.383100,events/second
1498823926,24953,4.728826,5.432315,4.880257,7.522506,events/second
1498823937,25000,4.728772,5.866191,4.999964,7.534160,events/second
1498823947,25000,4.719844,4.965624,4.836046,7.450910,events/second
1498823957,25000,4.710950,4.203310,4.677502,7.368581,events/second
1498823968,25000,4.702090,3.558025,4.524155,7.287161,events/second
1498823978,25000,4.693263,3.011803,4.375835,7.206641,events/second
1498823988,25000,4.684468,2.549436,4.232379,7.127010,events/second
1498823999,25000,4.675707,2.158051,4.093625,7.048259,events/second
1498824009,25000,4.666979,1.826751,3.959420,6.970379,events/second
1498824019,25000,4.658283,1.546311,3.829614,6.893359,events/second
1498824030,25000,4.649619,1.308924,3.704065,6.817190,events/second
1498824040,25000,4.640987,1.107980,3.582631,6.741863,events/second
1498824050,25000,4.632388,0.937885,3.465178,6.667368,events/second
1498824061,25000,4.623820,0.793903,3.351576,6.593696,events/second
1498824071,25000,4.615284,0.672024,3.241699,6.520838,events/second
1498824082,25000,4.606779,0.568856,3.135423,6.448785,events/second
1498824092,25000,4.598306,0.481526,3.032632,6.377529,events/second
1498824102,25000,4.589864,0.407603,2.933210,6.307060,events/second
1498824113,25000,4.581452,0.345029,2.837048,6.237369,events/second
1498824123,25000,4.573072,0.292060,2.744039,6.168448,events/second
1498824133,25000,4.564722,0.247224,2.654078,6.100290,events/second
1498824144,25000,4.556402,0.209270,2.567067,6.032884,events/second
1498824154,25000,4.548113,0.177144,2.482909,5.966223,events/second
1498824164,25095,4.557106,1.109416,2.599852,5.966780,events/second
1498824175,25297,4.585461,4.009466,3.170297,6.121842,events/second
1498824185,25499,4.613713,6.496287,3.728651,6.277406,events/second
1498824195,25700,4.641683,8.569354,4.262090,6.429035,events/second
1498824206,25752,4.642689,8.577930,4.414958,6.457167,events/second
1498824216,25782,4.639733,7.261061,4.270219,6.385818,events/second
1498824227,25989,4.668584,9.216721,4.785902,6.536249,events/second
1498824237,26082,4.676888,9.750216,5.053171,6.607444,events/second
1498824247,26177,4.685521,9.212847,5.085851,6.600916,events/second
1498824258,26379,4.713242,10.883584,5.578046,6.750073,events/second
1498824268,26565,4.738010,12.313824,6.057410,6.898689,events/second
1498824278,26769,4.765894,13.346667,6.481992,7.032435,events/second
1498824289,26968,4.792790,14.353363,6.921914,7.174620,events/second
1498824299,27173,4.820656,15.204234,7.347359,7.315227,events/second
1498824309,27373,4.847537,15.969897,7.768664,7.457593,events/second
1498824320,27574,4.874500,16.636565,8.179572,7.599505,events/second
1498824330,27774,4.901192,17.183617,8.573649,7.738736,events/second
1498824340,27977,4.928318,17.615983,8.948249,7.874218,events/second
1498824351,28181,4.955524,18.027390,9.320376,8.011515,events/second
1498824361,28380,4.981757,18.359646,9.676998,8.146187,events/second
1498824372,28580,5.008074,18.611471,10.015426,8.277167,events/second
1498824382,28783,5.034823,18.823357,10.342705,8.406694,events/second
1498824392,28984,5.061130,19.018706,10.662560,8.535897,events/second
1498824403,29184,5.087170,19.169352,10.968678,8.662571,events/second
1498824413,29384,5.113120,19.344845,11.274677,8.791169,events/second
1498824423,29585,5.139153,19.445423,11.560727,8.915022,events/second
1498824434,29787,5.165270,19.530561,11.837399,9.037507,events/second
1498824444,29986,5.190777,19.617341,12.108252,9.159740,events/second
1498824454,30090,5.199779,18.140903,12.039135,9.169025,events/second
1498824465,30289,5.225138,18.442300,12.303429,9.289811,events/second
1498824475,30489,5.250582,18.681435,12.555753,9.408154,events/second
1498824485,30689,5.275939,18.869147,12.796553,9.524088,events/second
1498824495,30890,5.301380,19.074735,13.039322,9.642059,events/second
1498824506,31089,5.326391,19.215502,13.267465,9.756504,events/second
1498824516,31289,5.351488,19.334658,13.488129,9.869685,events/second
1498824526,31489,5.376499,19.435522,13.701559,9.981614,events/second
1498824537,31690,5.401596,19.554162,13.914658,10.094530,events/second
1498824547,31889,5.426266,19.606615,14.110854,10.202873,events/second
1498824557,32089,5.451023,19.652294,14.300672,10.310026,events/second
1498824568,32289,5.475696,19.692239,14.484321,10.416001,events/second
1498824578,32490,5.500454,19.770190,14.671704,10.524110,events/second
1498824588,32689,5.524791,19.776045,14.839884,10.626611,events/second
1498824598,32888,5.549046,19.810426,15.009053,10.730183,events/second
1498824609,33087,5.573219,19.838251,15.172621,10.832605,events/second
1498824619,33286,5.597310,19.863082,15.330881,10.933901,events/second
1498824629,33487,5.621657,19.900093,15.487259,11.035186,events/second
1498824640,33687,5.645754,19.884727,15.628647,11.132034,events/second
1498824650,33886,5.669603,19.886432,15.768651,11.228913,events/second
1498824660,34086,5.693540,19.871885,15.900760,11.323614,events/second
1498824670,34286,5.717397,19.891553,16.035149,11.419485,events/second
1498824681,34485,5.741008,19.906923,16.165078,11.514290,events/second
1498824691,34682,5.764208,19.921212,16.290802,11.608054,events/second
1498824701,34882,5.787829,19.933307,16.412403,11.700782,events/second
1498824712,35000,5.797788,19.190685,16.374596,11.740401,events/second
1498824722,35200,5.821275,18.783999,16.376358,11.791993,events/second
1498824732,35399,5.844520,18.955965,16.491904,11.881586,events/second
1498824742,35596,5.867358,19.116244,16.606913,11.971291,events/second
1498824753,35798,5.890944,19.206500,16.708344,12.056694,events/second
1498824763,35993,5.913303,19.327038,16.816202,12.144458,events/second
1498824773,36192,5.936244,19.366386,16.907357,12.226826,events/second
1498824783,36390,5.958946,19.462379,17.008691,12.312711,events/second
1498824794,36590,5.981901,19.496940,17.096841,12.394328,events/second
1498824804,36790,6.004781,19.559456,17.188766,12.477266,events/second
1498824814,36988,6.027260,19.641800,17.284181,12.561491,events/second
1498824824,37187,6.049829,19.666087,17.366659,12.641474,events/second
1498824835,37387,6.072488,19.685366,17.446379,12.720567,events/second
1498824845,37586,6.094910,19.718956,17.526845,12.799900,events/second
1498824855,37787,6.117584,19.746110,17.604619,12.878350,events/second
1498824865,37983,6.139376,19.801078,17.686455,12.958150,events/second
1498824876,38184,6.161905,19.815625,17.758996,13.034851,events/second
1498824886,38382,6.183878,19.843930,17.832465,13.111813,events/second
1498824896,38582,6.206102,19.819916,17.893608,13.184601,events/second
1498824907,38781,6.228094,19.876987,17.969166,13.262112,events/second
1498824917,38981,6.250176,19.881160,18.032494,13.335462,events/second
1498824927,39179,6.271866,19.899404,18.096996,13.409102,events/second
1498824937,39378,6.293648,19.898856,18.156078,13.480821,events/second
1498824948,39577,6.315360,19.882401,18.209918,13.550639,events/second
1498824958,39777,6.337161,19.883185,18.265243,13.620788,events/second
1498824968,39976,6.358735,19.854424,18.312253,13.687958,events/second
1498824978,40100,6.368329,18.821971,18.141566,13.681483,events/second
1498824988,40300,6.389944,18.940134,18.189325,13.746874,events/second
1498824999,40500,6.411490,19.072139,18.242129,13.813759,events/second
1498825009,40698,6.432651,19.199870,18.296508,13.881012,events/second
1498825019,40898,6.454062,19.292001,18.345798,13.946415,events/second
1498825029,41098,6.475405,19.400692,18.400029,14.013304,events/second
1498825040,41292,6.495737,19.460714,18.445871,14.077239,events/second
1498825050,41492,6.516947,19.510244,18.490156,14.140461,events/second
1498825060,41689,6.537621,19.556005,18.533152,14.203003,events/second
1498825070,41888,6.558543,19.622888,18.581186,14.267051,events/second
1498825081,42088,6.579555,19.666069,18.624450,14.329296,events/second
1498825091,42288,6.600503,19.702621,18.666294,14.390853,events/second
1498825101,42487,6.621229,19.733562,18.706767,14.451730,events/second
1498825111,42686,6.641890,19.775743,18.749219,14.513043,events/second
1498825122,42886,6.662643,19.779467,18.783668,14.571462,events/second
1498825132,43085,6.683176,19.796053,18.820184,14.630331,events/second
1498825142,43283,6.703491,19.795381,18.852251,14.687447,events/second
1498825152,43482,6.723898,19.825515,18.889824,14.746143,events/second
1498825163,43679,6.743933,19.837589,18.922969,14.803094,events/second
1498825173,43877,6.764060,19.859965,18.958169,14.860506,events/second
1498825183,44077,6.784433,19.852038,18.985822,14.915091,events/second
1498825193,44277,6.804743,19.874753,19.019071,14.971277,events/second
1498825204,44476,6.824838,19.863277,19.044673,15.024633,events/second
1498825214,44677,6.845177,19.853563,19.069435,15.077399,events/second
1498825224,44876,6.865149,19.892035,19.103249,15.132900,events/second
1498825234,45000,6.873603,19.271522,19.000529,15.142370,events/second
1498825244,45184,6.891182,18.647730,18.870742,15.140951,events/second
1498825255,45383,6.910992,18.807354,18.897846,15.191317,events/second
1498825265,45582,6.930742,18.973178,18.930619,15.243337,events/second
1498825275,45780,6.950280,19.145526,18.968928,15.296998,events/second
1498825285,45980,6.970062,19.260712,18.999425,15.347857,events/second
1498825296,46178,6.989481,19.374207,19.032228,15.399261,events/second
1498825306,46378,7.009144,19.411427,19.050951,15.445690,events/second
1498825316,46574,7.028144,19.439098,19.068896,15.491587,events/second
1498825326,46773,7.047539,19.523928,19.099367,15.541397,events/second
1498825337,46970,7.066574,19.563753,19.122227,15.588441,events/second
1498825347,47170,7.086003,19.616012,19.147753,15.636085,events/second
1498825357,47369,7.105224,19.660249,19.172442,15.683203,events/second
1498825367,47569,7.124537,19.696416,19.196266,15.729794,events/second
1498825378,47766,7.143343,19.743022,19.222616,15.776978,events/second
1498825388,47964,7.162243,19.737056,19.238294,15.820329,events/second
1498825398,48161,7.180937,19.761432,19.259960,15.865404,events/second
1498825408,48364,7.200469,19.735370,19.271053,15.906664,events/second
1498825419,48561,7.219051,19.760005,19.291645,15.950786,events/second
1498825429,48760,7.237874,19.795570,19.314813,15.995522,events/second
1498825439,48959,7.256642,19.826954,19.337276,16.039770,events/second
1498825449,49159,7.275502,19.840085,19.355806,16.082433,events/second
1498825459,49358,7.294158,19.849923,19.373674,16.124619,events/second
1498825470,49555,7.312465,19.856971,19.390902,16.166332,events/second
1498825480,49753,7.330865,19.862938,19.407565,16.207585,events/second
1498825490,49952,7.349357,19.853276,19.420431,16.247279,events/second
1498825500,50000,7.345612,18.011863,19.050341,16.158108,events/second
1498825511,50000,7.334836,15.246713,18.425796,15.979568,events/second
1498825521,50000,7.324092,12.906064,17.821727,15.803000,events/second
