# Rate a, "Throughput: book_a"
1.0, 0.9534368070953437
2.0, 1.815793405717701
3.0, 2.5762652089578557
4.0, 3.2393088552915765
5.0, 3.8152470274201895
6.0, 4.315771467670203
7.0, 4.7519940603015325
8.0, 5.133734771040469
9.0, 5.469374184803458
10.0, 5.765942466304567
