# Rate a, "Throughput: book_d"
10.0, 7.457627118644064
30.0, 6.654205607476635
50.0, 6.102081551183344
70.0, 5.698852126941256
90.0, 5.391209192048148
110.0, 5.148634374528445
130.0, 4.9523809523809526
150.0, 4.790289368158666
170.0, 4.6541233735841985
190.0, 4.538103406027934
210.0, 4.438052779175955
