# Rate a, "Throughput: queue_a"
1.0, 0.9999999965608966
2.0, 1.9999997013553452
3.0, 2.9999888345873402
4.0, 3.999786655392324
5.0, 4.997703147401115
6.0, 5.984402561848795
7.0, 6.927713441771806
8.0, 7.759840280492402
9.0, 8.403199682078112
10.0, 8.830638968045074
