users,queries,throughput
15,21375,90.8
30,64125,179.96
45,128250,269.61
60,213750,342.67
75,320625,344.16
90,448875,353.34
105,598500,348.47
120,769500,374.03
135,961875,356.47
150,1175625,362.61
