users,queries,throughput
15,21375,98.83
30,64125,199.57
45,128250,277.5
60,213750,354.98
75,320625,347.52
90,448875,362.07
105,598500,359.68
120,769500,382.65
135,961875,363.18
150,1175625,373.28
