t,value
1500457540,0
1500457550,0
1500457560,0
1500457569,0
1500457579,0
1500457589,0
1500457599,0
1500457609,0
1500457619,0
1500457628,0
1500457638,0
1500457648,0
1500457658,0
1500457668,0
1500457677,0
1500457687,0
1500457697,0
1500457707,0
1500457717,0
1500457727,0
1500457736,0
1500457746,0
1500457756,0
1500457766,0
1500457776,0
1500457785,1
1500457795,1
1500457805,1
1500457815,1
1500457825,1
1500457834,1
1500457844,1
1500457854,1
1500457864,1
1500457874,1
1500457884,1
1500457893,1
1500457903,1
1500457913,1
1500457923,1
1500457933,1
1500457942,1
1500457952,1
1500457962,1
1500457972,1
1500457982,1
1500457992,1
1500458001,1
1500458011,1
1500458021,1
1500458031,1
1500458041,1
1500458050,1
1500458060,1
1500458070,1
1500458080,1
1500458090,1
1500458099,1
1500458109,1
1500458119,1
1500458129,1
1500458139,1
1500458148,1
1500458158,1
1500458168,2
1500458178,2
1500458188,2
1500458197,2
1500458207,3
1500458217,3
1500458227,3
1500458237,3
1500458247,3
1500458256,3
1500458266,3
1500458276,3
1500458286,3
1500458296,3
1500458305,3
1500458315,3
1500458325,3
1500458335,3
1500458345,3
1500458354,3
1500458364,3
1500458374,3
1500458384,3
1500458394,3
1500458403,3
1500458413,3
1500458423,3
1500458433,3
1500458443,3
1500458452,3
1500458462,3
1500458472,3
1500458482,3
1500458492,3
1500458502,3
1500458511,3
1500458521,3
1500458531,3
1500458541,3
1500458551,3
1500458560,3
1500458570,3
1500458580,3
1500458590,3
1500458600,3
1500458609,3
1500458619,3
1500458629,3
1500458639,3
1500458649,3
1500458658,3
1500458668,3
1500458678,3
1500458688,3
1500458697,3
1500458707,3
1500458717,3
1500458727,3
1500458737,3
1500458747,3
1500458756,3
1500458766,3
1500458776,3
1500458786,3
1500458796,3
1500458805,3
1500458815,3
1500458825,3
1500458835,3
1500458845,3
1500458854,3
1500458864,3
1500458874,3
1500458884,3
1500458894,3
1500458903,3
1500458913,3
1500458923,3
1500458933,3
1500458943,3
1500458952,3
1500458962,3
1500458972,3
1500458982,3
1500458992,3
1500459001,3
1500459011,3
1500459021,3
1500459031,3
1500459041,3
1500459050,3
1500459060,3
1500459070,3
1500459080,3
1500459089,3
1500459099,3
1500459109,3
1500459119,3
1500459129,3
1500459138,3
1500459148,3
1500459158,3
1500459168,3
1500459178,3
1500459187,3
1500459197,3
1500459207,3
1500459217,3
1500459227,3
1500459236,3
1500459246,3
1500459256,3
1500459266,3
1500459276,3
1500459285,3
1500459295,3
1500459305,3
1500459315,3
1500459324,3
1500459334,3
1500459344,3
1500459354,3
1500459364,3
1500459373,3
1500459383,3
1500459393,3
1500459403,3
1500459413,3
1500459422,3
1500459432,3
1500459442,3
1500459452,3
1500459462,3
1500459471,3
1500459481,3
1500459491,3
1500459501,3
1500459510,3
1500459520,3
1500459530,3
1500459540,3
1500459550,3
1500459559,3
1500459569,3
1500459579,3
1500459589,3
1500459598,3
1500459608,3
1500459618,3
1500459628,3
1500459638,3
1500459647,3
1500459657,3
1500459667,3
1500459677,3
1500459687,3
1500459696,3
1500459706,3
1500459716,3
1500459726,3
1500459735,3
1500459745,3
1500459755,3
1500459765,3
1500459775,3
1500459784,3
1500459794,3
1500459804,3
1500459814,3
1500459823,3
1500459833,3
1500459843,3
1500459853,3
1500459863,3
1500459872,3
1500459882,3
1500459892,3
1500459902,3
1500459912,3
1500459921,3
1500459931,3
1500459941,3
1500459951,3
1500459960,3
1500459970,3
1500459980,3
1500459990,3
1500459999,3
1500460009,3
