queries,users,throughput
21375,15,94.554
64125,30,186.024
128250,45,282.04
213750,60,346.47200000000004
320625,75,358.004
448875,90,366.89599999999996
598500,105,369.28599999999994
769500,120,378.13800000000003
961875,135,374.624
1175625,150,378.9
