queries,users,throughput
21375,15,98.964
64125,30,194.228
128250,45,293.268
213750,60,362.94
320625,75,365.02
448875,90,373.19599999999997
598500,105,376.62600000000003
769500,120,385.616
961875,135,381.08
1175625,150,388.406
