users,queries,throughput
15,21375,154.0
30,64125,129.4
45,128250,257.65
60,213750,251.4
75,320625,266.22
90,448875,295.77
105,598500,304.33
120,769500,307.28
135,961875,329.15
150,1175625,316.15
