users,queries,throughput
45,64125,321.63
60,149625,354.03
75,256500,505.54
90,384750,530.2
105,534375,704.91
120,705375,800.1
135,897750,810.66
150,1111500,777.18
165,1346625,658.14
180,1603125,702.11
