t,count,mean_rate,m1_rate
1500625400,0,0,0.0
1500625410,1,0.1,0.016666666666666666
1500625420,1,0.05,0.016666666666666666
1500625430,2,0.06666666666666667,0.03333333333333333
1500625440,2,0.05,0.03333333333333333
1500625450,2,0.04,0.03333333333333333
1500625459,2,0.03389830508474576,0.03333333333333333
1500625469,2,0.028985507246376812,0.016666666666666666
1500625479,2,0.02531645569620253,0.016666666666666666
1500625489,3,0.033707865168539325,0.016666666666666666
1500625499,3,0.030303030303030304,0.016666666666666666
1500625509,3,0.027522935779816515,0.016666666666666666
1500625519,3,0.025210084033613446,0.016666666666666666
1500625528,3,0.0234375,0.016666666666666666
1500625538,3,0.021739130434782608,0.016666666666666666
1500625548,3,0.02027027027027027,0.0
1500625558,3,0.0189873417721519,0.0
1500625568,3,0.017857142857142856,0.0
1500625578,3,0.016853932584269662,0.0
1500625588,3,0.015957446808510637,0.0
1500625597,3,0.015228426395939087,0.0
1500625607,14,0.06763285024154589,0.18333333333333332
1500625617,14,0.06451612903225806,0.18333333333333332
1500625627,14,0.06167400881057269,0.18333333333333332
1500625637,14,0.05907172995780591,0.18333333333333332
1500625647,14,0.05668016194331984,0.18333333333333332
1500625657,14,0.054474708171206226,0.18333333333333332
1500625666,14,0.05263157894736842,0.0
1500625676,14,0.050724637681159424,0.0
1500625686,14,0.04895104895104895,0.0
1500625696,14,0.0472972972972973,0.0
1500625706,14,0.0457516339869281,0.0
1500625716,14,0.04430379746835443,0.0
1500625726,14,0.04294478527607362,0.0
1500625735,14,0.041791044776119404,0.0
1500625745,14,0.04057971014492753,0.0
1500625755,14,0.03943661971830986,0.0
1500625765,14,0.038356164383561646,0.0
1500625775,14,0.037333333333333336,0.0
1500625785,14,0.03636363636363636,0.0
1500625795,14,0.035443037974683546,0.0
1500625804,14,0.034653465346534656,0.0
1500625814,14,0.033816425120772944,0.0
1500625824,14,0.0330188679245283,0.0
1500625834,14,0.03225806451612903,0.0
1500625844,14,0.03153153153153153,0.0
1500625854,14,0.030837004405286344,0.0
1500625864,14,0.03017241379310345,0.0
1500625873,14,0.02959830866807611,0.0
1500625883,14,0.028985507246376812,0.0
1500625893,14,0.028397565922920892,0.0
1500625903,14,0.027833001988071572,0.0
1500625913,14,0.02729044834307992,0.0
1500625923,14,0.02676864244741874,0.0
1500625933,14,0.02626641651031895,0.0
1500625942,14,0.025830258302583026,0.0
1500625952,14,0.025362318840579712,0.0
1500625962,14,0.02491103202846975,0.0
1500625972,14,0.024475524475524476,0.0
1500625982,14,0.024054982817869417,0.0
1500625992,14,0.02364864864864865,0.0
1500626002,14,0.023255813953488372,0.0
1500626011,14,0.022913256955810146,0.0
1500626021,14,0.02254428341384863,0.0
1500626031,14,0.022187004754358162,0.0
1500626041,14,0.0218408736349454,0.0
1500626051,14,0.021505376344086023,0.0
1500626061,14,0.02118003025718608,0.0
1500626071,14,0.020864381520119227,0.0
