users,queries,throughput
15,21375,166.22
30,64125,117.6
45,128250,167.57
60,213750,142.55
75,320625,119.07
90,448875,106.68
105,598500,104.33
120,769500,104.07
135,961875,86.15
150,1175625,85.23
